player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100325,Ulrich,Pinner,R,19540207.0,GER,178.0,Q78176
100326,Russell,Simpson,R,19540222.0,NZL,188.0,Q3784261
100327,Willem,Prinsloo,L,19540225.0,RSA,,Q92294368
100328,Rand,Evett,R,19540301.0,USA,,
100329,Otto,Panman,R,19540325.0,NED,,
100330,David,Imonitie,R,19540410.0,NGR,,
100331,Jean Louis,Haillet,R,19540507.0,FRA,,Q735512
100332,Balazs,Taroczy,R,19540509.0,HUN,183.0,Q370019
100333,Shigeyuki,Nishio,R,19540523.0,JPN,,Q62513568
100334,Ernie,Ewert,R,19540605.0,AUS,,Q17365472
100335,David,Parker,R,19540607.0,USA,,
100336,Guillermo,Aubone,L,19540608.0,ARG,,Q5616118
100337,Mark,Edmondson,R,19540624.0,AUS,185.0,Q506606
100338,Benjy,Robins,R,19540630.0,USA,175.0,
100339,Victor,Amaya,L,19540702.0,USA,201.0,Q1748325
100340,Sam,Vuille,R,19540706.0,USA,,
100341,Gonzalo,Nunez,R,19540721.0,USA,,Q107031471
100342,Vitas,Gerulaitis,R,19540726.0,USA,183.0,Q53547
100343,John,Lloyd,R,19540827.0,GBR,178.0,Q1360272
100344,Eric,Friedler,R,19540908.0,USA,,Q24005201
100345,Pat,Dupre,R,19540916.0,USA,190.0,Q3368536
100346,Paul,Kronk,R,19540922.0,AUS,,Q3371590
100347,Peter,Kronk,R,19540922.0,AUS,,
100348,Gerard,Toulon,R,19540924.0,FRA,185.0,
100349,Glen,Holroyd,R,19540925.0,USA,,Q28595312
100350,Franz Josef,Wich,R,19541011.0,GER,,
100351,Freddie,De Jesus,R,19541030.0,PUR,,
100352,John,Lucas,R,19541031.0,USA,,
100353,Bruce,Kleege,R,19541101.0,USA,190.0,Q22095971
100354,Bernie,Mitton,R,19541109.0,RSA,188.0,Q2898337
100355,Victor,Eke,R,19541111.0,AUS,,Q55183442
100356,Paul,Mcnamee,R,19541112.0,AUS,178.0,Q1348791
100357,Bhanu,Nunna,R,19541113.0,IND,,Q87786664
100358,Mike,Fishbach,R,19541201.0,USA,180.0,Q18641540
100359,Richard,Lewis,L,19541206.0,GBR,,Q7327373
100360,Brian,Teacher,R,19541223.0,USA,190.0,Q54683
100361,Willie,Davies,R,19550101.0,GBR,,
100362,Peter,Fleming,R,19550121.0,USA,196.0,Q729789
100363,Jiri,Granat,R,19550128.0,CZE,185.0,Q6203644
100364,Jonathan,Smith,R,19550129.0,GBR,188.0,Q6274466
100365,Peter,Holl,R,19550129.0,GER,,Q84072816
100366,Heiner,Seuss,R,19550204.0,GER,,
100367,Belus,Prajoux,R,19550227.0,CHI,170.0,Q2895162
100368,Haroon,Ismail,R,19550227.0,ZIM,178.0,Q13513049
100369,Herve,Gauvain,R,19550304.0,FRA,180.0,Q81221296
100370,Helmut,Beermann,R,19550309.0,GER,,
100371,Robert,Baumgartner,R,19550311.0,GER,,
100372,Trey,Waltke,R,19550316.0,USA,173.0,Q7839620
100373,Christopher,Sylvan,R,19550318.0,USA,,
100374,Javier,Soler,L,19550325.0,ESP,,Q23772064
100375,John,Hayes,R,19550407.0,USA,193.0,Q6238395
100376,Buster C,Mottram,R,19550425.0,GBR,193.0,Q2928786
100377,Colin,Dowdeswell,R,19550512.0,GBR,185.0,Q464502
100378,David,Schneider,R,19550517.0,USA,185.0,Q5239547
100379,Craig,Edwards,R,19550519.0,USA,175.0,Q17457380
100380,Butch,Walts,R,19550604.0,USA,193.0,Q2928827
100381,Michael,Greenberg,R,19550611.0,USA,,
100382,Chris,Kachel,R,19550619.0,AUS,,Q2964756
100383,Peter,Mcnamara,R,19550705.0,AUS,185.0,Q1508952
100384,Alejandro,Cortes,R,19550714.0,COL,,Q4714511
100385,Filip,Krajcik,R,19550723.0,AUT,,Q19971270
100387,Jiri,Prucha,R,19550810.0,CZE,,Q106981794
100388,Peter,Pearson,R,19550812.0,USA,,
100389,Horace,Reid,R,19550814.0,USA,,
100390,Trevor,Allan,L,19550817.0,AUS,178.0,Q19975564
100391,Larry,Davidson,R,19550821.0,USA,,
100392,Richard,Meyer,R,19550904.0,USA,183.0,Q7327797
100393,Marcos,Hocevar,R,19550926.0,BRA,185.0,Q2740863
100394,Angel,Gimenez,R,19551010.0,ESP,163.0,Q8076837
100395,Victor,Pecci,R,19551015.0,PAR,193.0,Q715523
100396,Martin,Robinson,L,19551019.0,GBR,,Q96392148
100397,Terry,Rocavert,R,19551021.0,AUS,180.0,Q7704959
100398,Julio,Goes,R,19551025.0,BRA,180.0,Q10313439
100399,Rocky,Maguire,R,19551027.0,USA,,
